"year","month","day","precip_mm","ET_mm"
1995,3,31,4.30000019073486,4.00753826895808
1995,4,1,2.09999990463257,3.94634555139229
1995,4,2,7,3.8851528338265
1995,4,3,0.300000011920929,3.8239601162607
1995,4,4,0.100000001490116,3.76276739869491
1995,4,5,8.80000019073486,3.70157468112912
1995,4,6,0.800000011920929,3.64038196356332
1995,4,7,9.30000019073486,3.57918924599753
1995,4,8,9.80000019073486,3.51799652843174
1995,4,9,3.40000009536743,3.45680381086594
1995,4,10,3,3.39561109330015
1995,4,11,1.5,3.33441837573436
1995,4,12,0.400000005960464,3.27322565816856
1995,4,13,0,3.21203294060277
1995,4,14,0,3.15084022303698
1995,4,15,0,3.08964750547118
1995,4,16,10.6999998092651,3.02845478790539
1995,4,17,17.6000003814697,2.9672620703396
1995,4,18,1.10000002384186,2.9060693527738
1995,4,19,6.90000009536743,2.84487663520801
1995,4,20,0,2.78368391764222
1995,4,21,0.699999988079071,2.72249120007643
1995,4,22,0,2.66129848251063
1995,4,23,0,2.60010576494484
1995,4,24,4,2.53891304737905
1995,4,25,0.899999976158142,2.47772032981325
1995,4,26,2.20000004768372,2.41652761224746
1995,4,27,0,2.35533489468167
1995,4,28,0,2.29414217711587
1995,4,29,0,2.23294945955008
1995,4,30,10.8999996185303,2.17175674198429
1995,5,1,2.09999990463257,2.15096033454
1995,5,2,0,2.13016392709571
1995,5,3,0.400000005960464,2.10936751965142
1995,5,4,1.70000004768372,2.08857111220714
1995,5,5,1.5,2.06777470476285
1995,5,6,0.400000005960464,2.04697829731856
1995,5,7,0,2.02618188987428
1995,5,8,0,2.00538548242999
1995,5,9,0,1.9845890749857
1995,5,10,0,1.96379266754141
1995,5,11,0,1.94299626009713
1995,5,12,0.5,1.92219985265284
1995,5,13,4.80000019073486,1.90140344520855
1995,5,14,7.30000019073486,1.88060703776426
1995,5,15,1,1.85981063031998
1995,5,16,0.699999988079071,1.83901422287569
1995,5,17,0.400000005960464,1.8182178154314
1995,5,18,0.100000001490116,1.79742140798711
1995,5,19,0,1.77662500054283
1995,5,20,0.800000011920929,1.75582859309854
1995,5,21,0,1.73503218565425
1995,5,22,0,1.71423577820997
1995,5,23,0,1.69343937076568
1995,5,24,1.39999997615814,1.67264296332139
1995,5,25,8.60000038146973,1.6518465558771
1995,5,26,6.19999980926514,1.63105014843282
1995,5,27,2.20000004768372,1.61025374098853
1995,5,28,4.19999980926514,1.58945733354424
1995,5,29,1.60000002384186,1.56866092609995
1995,5,30,0.200000002980232,1.54786451865567
1995,5,31,0.600000023841858,1.52706811121138
1995,6,1,0,1.50524505365593
1995,6,2,0,1.48342199610048
1995,6,3,0,1.46159893854503
1995,6,4,0,1.43977588098958
1995,6,5,0,1.41795282343413
1995,6,6,5.19999980926514,1.39612976587868
1995,6,7,3.20000004768372,1.37430670832322
1995,6,8,9,1.35248365076777
1995,6,9,9.5,1.33066059321232
1995,6,10,4.40000009536743,1.30883753565687
1995,6,11,16.6000003814697,1.28701447810142
1995,6,12,3,1.26519142054597
1995,6,13,2.09999990463257,1.24336836299052
1995,6,14,0,1.22154530543507
1995,6,15,1.39999997615814,1.19972224787962
1995,6,16,0.100000001490116,1.17789919032417
1995,6,17,2.40000009536743,1.15607613276872
1995,6,18,2.70000004768372,1.13425307521327
1995,6,19,2.79999995231628,1.11243001765781
1995,6,20,1.20000004768372,1.09060696010236
1995,6,21,0.800000011920929,1.06878390254691
1995,6,22,0,1.04696084499146
1995,6,23,0.100000001490116,1.02513778743601
